Fecha;Precio pollo a pie;Peso promedio pollo (kg/unid.);Precio pollo en granja;Precio pollo en cd (Acopio);Precio pollo en minoristas;Precio gallina negra;Precio gallina colorada;Precio gallina reproductora;Precio huevo rosado
2022-06-01 00:00:00;6.57;2.64;6.05;6.57;9.57;14.5;9.05;7.27;7.43
2022-06-02 00:00:00;6.57;2.68;6.05;6.57;9.57;14.5;10.9;7.27;7.7
2022-06-03 00:00:00;6.97;2.65;6.44;6.97;10.07;14.5;11.15;7.4;7.89
2022-06-04 00:00:00;6.97;2.65;6.44;6.97;10.07;14.5;11.15;7.4;7.89
2022-06-05 00:00:00;6.97;2.65;6.44;6.97;10.07;14.5;11.15;7.4;7.89
2022-06-06 00:00:00;6.97;2.66;6.48;6.97;10.11;14.5;10.37;7.4;8.24
2022-06-07 00:00:00;6.97;2.69;6.5;6.97;10.09;14.5;10.37;7.4;8.33
2022-06-08 00:00:00;6.97;2.7;6.49;6.97;10.1;14.5;11.03;7.27;8.28
2022-06-09 00:00:00;6.97;2.71;6.43;6.97;10.09;14.5;12.4;7.4;8.23
2022-06-10 00:00:00;6.87;2.67;6.43;6.87;10.1;14.5;12.4;7.27;8.23
2022-06-11 00:00:00;6.87;2.67;6.43;6.87;10.1;14.5;12.4;7.27;8.23
2022-06-12 00:00:00;6.87;2.67;6.43;6.87;10.1;14.5;12.4;7.27;8.23
2022-06-13 00:00:00;6.95;2.69;6.46;6.95;10.1;14.5;12.4;7.33;8.27
2022-06-14 00:00:00;6.27;2.69;5.84;6.27;10.1;14.5;11.53;7.15;8
2022-06-15 00:00:00;6.27;2.67;5.83;6.27;9.58;14.5;11.53;7.15;7.96
2022-06-16 00:00:00;5.87;2.68;5.43;5.87;9.84;14.5;11.53;7.15;7.8
2022-06-17 00:00:00;6.17;2.67;5.63;6.17;9.42;14.5;11.53;7.27;7.75
2022-06-18 00:00:00;6.17;2.67;5.63;6.17;9.42;14.5;11.53;7.27;7.75
2022-06-19 00:00:00;6.17;2.67;5.63;6.17;9.42;14.5;11.53;7.27;7.75
2022-06-20 00:00:00;6.57;2.68;6.07;6.57;9.67;14.5;11.65;7.6;7.65
2022-06-21 00:00:00;6.57;2.68;6.07;6.57;9.56;14.5;11.65;7.65;7.43
2022-06-22 00:00:00;6.57;2.7;6.08;6.57;9.71;14.5;11.65;7.65;7.35
2022-06-23 00:00:00;6.57;2.72;6.04;6.57;9.6;14.5;10.93;8.1;7.33
2022-06-24 00:00:00;6.57;2.7;6.06;6.57;9.69;14.5;11.47;7.75;7.44
2022-06-25 00:00:00;6.57;2.7;6.06;6.57;9.69;14.5;11.47;7.75;7.44
2022-06-26 00:00:00;6.57;2.7;6.06;6.57;9.69;14.5;11.47;7.75;7.44
2022-06-27 00:00:00;6.72;2.67;6.28;6.72;9.86;14.5;10.27;8.65;7.43
2022-06-28 00:00:00;6.67;2.67;6.29;6.67;9.79;14.5;10.27;8.65;7.45
2022-06-29 00:00:00;6.65;2.69;6.2;6.65;9.86;14.5;10.49;8.47;7.4
2022-06-30 00:00:00;6.67;2.69;6.29;6.67;9.86;14.5;10.27;8.65;7.43
2022-07-01 00:00:00;6.97;2.68;6.59;6.97;10.16;14.5;10.27;8.65;7.45
2022-07-02 00:00:00;6.97;2.68;6.59;6.97;10.16;14.5;10.27;8.65;7.45
2022-07-03 00:00:00;6.97;2.68;6.59;6.97;10.16;14.5;10.27;8.65;7.45
2022-07-04 00:00:00;6.97;2.72;6.58;6.97;10;14.5;10.43;8.65;7.5
2022-07-05 00:00:00;6.97;2.73;6.57;6.97;10.08;14.5;10.32;8.65;7.5
2022-07-06 00:00:00;6.92;2.74;6.52;6.92;10.05;14.5;10.93;8.65;7.45
2022-07-07 00:00:00;6.87;2.72;6.47;6.87;10.07;14.5;10.54;9.15;7.45
2022-07-08 00:00:00;6.77;2.68;6.35;6.77;9.92;14.5;10.6;9.65;7.4
2022-07-09 00:00:00;6.77;2.68;6.35;6.77;9.92;14.5;10.6;9.65;7.4
2022-07-10 00:00:00;6.77;2.68;6.35;6.77;9.92;14.5;10.6;9.65;7.4
2022-07-11 00:00:00;6.32;2.72;5.86;6.32;9.52;14.5;10.6;9.65;7.3
2022-07-12 00:00:00;6.77;2.75;6.31;6.77;9.83;14.5;10.43;9.65;7.26
2022-07-13 00:00:00;6.67;2.71;6.27;6.67;9.89;14.5;10.43;9.65;7.23
2022-07-14 00:00:00;7.07;2.76;6.47;7.07;9.78;14.5;10.52;9.85;7.24
2022-07-15 00:00:00;7.07;2.74;6.57;7.07;10.18;14.5;10.43;9.9;7.2
2022-07-16 00:00:00;7.07;2.74;6.57;7.07;10.18;14.5;10.43;9.9;7.2
2022-07-17 00:00:00;7.07;2.74;6.57;7.07;10.18;14.5;10.43;9.9;7.2
2022-07-18 00:00:00;6.82;2.73;6.48;6.82;10.14;14.5;10.6;10.25;7.3
2022-07-19 00:00:00;6.82;2.76;6.48;6.82;10.07;14.5;10.49;10.17;7.25
2022-07-20 00:00:00;6.76;2.75;6.44;6.76;10.11;14.5;10.6;10.1;7.28
2022-07-21 00:00:00;6.71;2.73;6.43;6.71;10.14;14.5;10.54;10.1;7.29
2022-07-22 00:00:00;6.71;2.74;6.44;6.71;10.06;14.5;10.07;10.1;7.28
2022-07-23 00:00:00;6.71;2.74;6.44;6.71;10.06;14.5;10.07;10.1;7.28
2022-07-24 00:00:00;6.71;2.74;6.44;6.71;10.06;14.5;10.07;10.1;7.28
2022-07-25 00:00:00;6.66;2.71;6.38;6.66;9.86;14.5;10.07;10.13;7.2
2022-07-26 00:00:00;7.07;2.72;6.77;7.07;10.01;14.5;10.07;10.1;7.24
2022-07-27 00:00:00;7.07;2.76;6.77;7.07;9.88;14.5;10.07;10.1;7.2
2022-07-28 00:00:00;7.07;2.73;6.77;7.07;9.93;14.5;10.07;10.1;7.2
2022-07-29 00:00:00;6.97;2.73;6.67;6.97;9.87;14.5;10.07;10.11;7.21
2022-07-30 00:00:00;6.97;2.73;6.67;6.97;9.87;14.5;10.07;10.11;7.21
2022-07-31 00:00:00;6.97;2.73;6.67;6.97;9.87;14.5;10.07;10.11;7.21
2022-08-01 00:00:00;7.07;2.69;6.77;7.07;9.35;14.51;10.07;10.1;7.1
2022-08-02 00:00:00;7.07;2.69;6.76;7.07;9.62;14.51;10.07;10.35;7.2
2022-08-03 00:00:00;7.37;2.68;7.06;7.37;10.51;14.52;10.07;10.23;7.2
2022-08-04 00:00:00;7.37;2.68;7.07;7.37;9.93;14.52;9.9;10.5;7.14
2022-08-05 00:00:00;7.37;2.68;7.07;7.37;10.93;14.53;9.9;10.35;7.14
2022-08-06 00:00:00;7.37;2.68;7.07;7.37;10.93;14.53;9.9;10.35;7.14
2022-08-07 00:00:00;7.37;2.68;7.07;7.37;10.93;14.53;9.9;10.35;7.14
2022-08-08 00:00:00;7.37;2.7;7.06;7.37;10.33;14.53;9.9;10.25;7.1
2022-08-09 00:00:00;7.37;2.69;7.06;7.37;10.59;14.54;9.9;10.25;7.1
2022-08-10 00:00:00;7.37;2.65;7.06;7.37;10.46;14.54;9.9;10.25;7.2
2022-08-11 00:00:00;7.37;2.64;7.07;7.37;10.57;14.55;9.9;10.25;7.24
2022-08-12 00:00:00;7.37;2.61;7.07;7.37;10.39;14.55;10.1;10.5;7.24
2022-08-13 00:00:00;7.37;2.61;7.07;7.37;10.39;14.55;10.1;10.5;7.24
2022-08-14 00:00:00;7.37;2.61;7.07;7.37;10.39;14.55;10.1;10.5;7.24
2022-08-15 00:00:00;7.37;2.63;7.07;7.37;10.46;14.56;10.1;10;7.23
2022-08-16 00:00:00;7.37;2.66;7.07;7.37;10.46;14.56;10.1;10.25;7.2
2022-08-17 00:00:00;7.37;2.62;7.07;7.37;10.68;14.57;10.1;10.5;7.16
2022-08-18 00:00:00;7.57;2.59;7.27;7.57;10.89;14.57;10.1;10.5;7.15
2022-08-19 00:00:00;7.57;2.56;7.28;7.57;11.11;14.58;10.65;10.25;7.15
2022-08-20 00:00:00;7.57;2.56;7.28;7.57;11.11;14.58;10.65;10.25;7.15
2022-08-21 00:00:00;7.57;2.56;7.28;7.57;11.11;14.58;10.65;10.25;7.15
2022-08-22 00:00:00;7.77;2.53;7.48;7.77;11.33;14.58;10.65;10.07;7.1
2022-08-23 00:00:00;7.77;2.63;7.48;7.77;11.33;14.58;10.65;10.1;7.09
2022-08-24 00:00:00;7.77;2.61;7.48;7.77;11.28;14.59;10.65;9.75;7.09
2022-08-25 00:00:00;7.77;2.57;7.47;7.77;11.3;14.59;10.65;9.38;7.14
2022-08-26 00:00:00;7.77;2.6;7.48;7.77;11.2;14.6;10.9;9.38;7.14
2022-08-27 00:00:00;7.77;2.6;7.48;7.77;11.2;14.6;10.9;9.38;7.14
2022-08-28 00:00:00;7.77;2.6;7.48;7.77;11.2;14.6;10.9;9.38;7.14
2022-08-29 00:00:00;7.77;2.6;7.48;7.77;11.24;14.6;10.78;9.65;7.12
2022-08-30 00:00:00;7.77;2.59;7.48;7.77;11.24;14.61;10.78;9.5;7.12
2022-08-31 00:00:00;7.77;2.62;7.48;7.77;11.33;14.61;10.9;9.73;7.21
2022-09-01 00:00:00;7.77;2.65;7.48;7.77;11.27;14.62;10.9;9.63;7.3
2022-09-02 00:00:00;7.77;2.66;7.48;7.77;11.32;14.62;11.4;9.5;7.3
2022-09-03 00:00:00;7.77;2.66;7.48;7.77;11.32;14.62;11.4;9.5;7.3
2022-09-04 00:00:00;7.77;2.66;7.48;7.77;11.32;14.62;11.4;9.5;7.3
2022-09-05 00:00:00;7.77;2.68;7.47;7.77;11.29;14.63;11.4;9.8;7.27
2022-09-06 00:00:00;7.77;2.73;7.47;7.77;11.31;14.63;11.4;9.8;7.33
2022-09-07 00:00:00;7.77;2.73;7.46;7.77;11.29;14.64;11.4;9.9;7.34
2022-09-08 00:00:00;7.77;2.71;7.46;7.77;11.3;14.64;11.4;10.3;7.35
2022-09-09 00:00:00;7.37;2.71;7.05;7.37;11.06;14.65;11.4;10.3;7.3
