Fecha;T.Promedio;T.Min;T.Max;Precipitacion;Presion(hPa);Departamento
1/01/2023;25.2;21.8;29;0;1012.5;Tumbes
2/01/2023;26.6;22.6;29.3;0;1012.4;Tumbes
3/01/2023;25;21.8;29;0;1012.6;Tumbes
4/01/2023;25.4;22.5;29.2;0.3;1012.5;Tumbes
5/01/2023;24.4;20;29;0;1012.5;Tumbes
6/01/2023;24.5;20.3;28.2;0;1012.6;Tumbes
7/01/2023;24.4;21;27.1;0;1013;Tumbes
8/01/2023;25.7;22.5;29;5.2;1013.4;Tumbes
9/01/2023;25.3;21.5;30;4;1013.5;Tumbes
10/01/2023;24.7;21.4;29;4;1013.2;Tumbes
11/01/2023;25.1;21.2;30;0;1013.3;Tumbes
12/01/2023;24.9;20.7;29;0.2;1012.2;Tumbes
13/01/2023;25.5;22.3;29.2;3.3;1011.2;Tumbes
14/01/2023;27.3;22.7;30;1.6;1012.1;Tumbes
15/01/2023;24.7;21.3;28;0;1012.3;Tumbes
16/01/2023;25.9;21.8;30;3;1011.3;Tumbes
17/01/2023;25.4;21.8;30;0;1011;Tumbes
18/01/2023;25.9;21;30;0;1010.8;Tumbes
19/01/2023;25.6;21.8;29.5;1.3;1011.9;Tumbes
20/01/2023;26.2;22.1;31;1.8;1011.8;Tumbes
21/01/2023;25.7;22.1;30;0.4;1010.8;Tumbes
22/01/2023;25.7;21.8;30;5.2;1009.5;Tumbes
23/01/2023;26.3;22.2;31;8.2;1009.7;Tumbes
24/01/2023;27;22;31;0;1010.2;Tumbes
25/01/2023;26.8;22.5;31;0;1009.5;Tumbes
26/01/2023;29;22.5;31.8;7.2;1009.2;Tumbes
27/01/2023;26.2;22.3;30;11;1009.5;Tumbes
28/01/2023;26.1;22.5;29.1;4.2;1009.2;Tumbes
29/01/2023;26.9;23.5;31;0;1009.5;Tumbes
30/01/2023;27.1;24;31;0.9;1009.9;Tumbes
31/01/2023;27.2;24.1;30.7;0;1010.5;Tumbes
1/02/2023;27.3;23.9;31.1;1.1;1010.5;Tumbes
2/02/2023;27.2;24.3;31;0;1010.3;Tumbes
3/02/2023;26.9;23;32;0;1010.8;Tumbes
4/02/2023;26.5;22.8;30;2.7;1011.5;Tumbes
5/02/2023;25.7;22.7;30.5;8.9;1010.9;Tumbes
6/02/2023;26.6;23;31;7;1009.7;Tumbes
7/02/2023;26.8;22.9;31;0.4;1009.2;Tumbes
8/02/2023;26.2;22.3;32;5.5;1009.3;Tumbes
9/02/2023;26.2;22.5;30.2;1.2;1009.5;Tumbes
10/02/2023;25.9;22.7;31;13.9;1009.2;Tumbes
11/02/2023;26.2;23.2;30;14;1008.6;Tumbes
12/02/2023;26.2;22.6;30;22.9;1008.2;Tumbes
13/02/2023;26.1;23.2;31;39;1009.1;Tumbes
14/02/2023;26.1;23.5;30;37.5;1010;Tumbes
15/02/2023;27.7;23.8;31.3;12.2;1010.5;Tumbes
16/02/2023;26.6;23.4;31;22.1;1009.7;Tumbes
17/02/2023;26.7;22.7;31;3.5;1009;Tumbes
18/02/2023;29.5;23;32;1.1;1009.2;Tumbes
19/02/2023;26.5;22.6;31;6;1009.1;Tumbes
20/02/2023;26.1;23.1;30;10.1;1008.9;Tumbes
21/02/2023;25.4;23.1;29.2;15.4;1010.3;Tumbes
22/02/2023;25.8;22.2;30;13.7;1011.7;Tumbes
23/02/2023;26.6;22.8;32;13.4;1011.8;Tumbes
24/02/2023;26.3;22.5;31;16.2;1011.5;Tumbes
25/02/2023;25;22.7;28;15.1;1011.6;Tumbes
26/02/2023;26.6;23.9;30;11.8;1010.5;Tumbes
27/02/2023;26.8;23.5;32;24.7;1009.8;Tumbes
28/02/2023;26.8;23.1;31;3.6;1010.4;Tumbes
1/03/2023;26.6;22.8;30;0.9;1009.7;Tumbes
2/03/2023;26.2;23.1;31;7.1;1008.7;Tumbes
3/03/2023;25.7;22;30.5;10.7;1007.7;Tumbes
4/03/2023;26.1;22.6;30.2;0.8;1008.5;Tumbes
5/03/2023;27.3;22.9;30.6;21.7;1010;Tumbes
6/03/2023;25.1;21.9;29;55.4;1010.8;Tumbes
7/03/2023;26.4;22.9;30;23.2;1011;Tumbes
8/03/2023;26;23.1;30.7;23.7;1011.7;Tumbes
9/03/2023;24.2;22.5;28;52.9;1012.7;Tumbes
10/03/2023;24.7;22.5;29;10.2;1012.8;Tumbes
11/03/2023;25.8;21.8;29.3;0.6;1011.9;Tumbes
12/03/2023;26.1;22.2;29;0.8;1011.6;Tumbes
13/03/2023;25.8;21.8;30;4.8;1012.2;Tumbes
14/03/2023;25.8;22;29;5.7;1013.1;Tumbes
15/03/2023;25.5;22.4;29.6;3.8;1012.8;Tumbes
16/03/2023;26.1;22.2;30;2.9;1012.1;Tumbes
17/03/2023;25.8;21.7;30;1.6;1011.6;Tumbes
18/03/2023;26.1;22;30;1.2;1011.6;Tumbes
19/03/2023;26.4;22.2;31;2.6;1012;Tumbes
20/03/2023;26.4;22.2;31;1.7;1012;Tumbes
21/03/2023;26.4;21.5;32;0.7;1010.3;Tumbes
22/03/2023;26.7;22.8;31;3.3;1010.4;Tumbes
23/03/2023;26.2;22.3;31;14.1;1010.9;Tumbes
24/03/2023;24.9;21.8;29.6;41.4;1011.9;Tumbes
25/03/2023;25.8;22;30;7;1010.8;Tumbes
26/03/2023;26;22.5;30;21.8;1009.6;Tumbes
27/03/2023;26;22.8;30;19.5;1010;Tumbes
28/03/2023;26.3;23.2;30.2;21.4;1010.3;Tumbes
29/03/2023;26.5;22.4;31;0.6;1009.6;Tumbes
30/03/2023;25.9;22.1;31;9.7;1009.6;Tumbes
31/03/2023;25.2;22.6;29;93.9;1010.8;Tumbes
1/04/2023;26.1;22.7;30;69.5;1010;Tumbes
2/04/2023;26.1;23;29.2;18.3;1009.4;Tumbes
3/04/2023;26.5;22.5;30.5;17.3;1007.9;Tumbes
4/04/2023;26.3;23.3;30.5;5.2;1008.1;Tumbes
5/04/2023;26.4;23.2;30.2;13.3;1008.4;Tumbes
6/04/2023;24.7;22.5;29;7.2;1010.5;Tumbes
7/04/2023;25.6;22.8;29;7.5;1010.3;Tumbes
8/04/2023;26.5;22.1;31;1.2;1009.5;Tumbes
9/04/2023;27.2;23;31;2.9;1009.2;Tumbes
10/04/2023;25.5;23.3;29;11.4;1010.6;Tumbes
11/04/2023;26.2;23;30;9;1010;Tumbes
12/04/2023;25.7;23.4;29;18.3;1009.5;Tumbes
13/04/2023;26.3;22.7;30.2;17.3;1008.2;Tumbes
14/04/2023;26.5;22.8;30.1;15.3;1008.3;Tumbes
15/04/2023;26.2;23.2;30;20.4;1010.4;Tumbes
16/04/2023;25.4;22.7;29;27.4;1011.6;Tumbes
17/04/2023;26;22.8;31;15.2;1010.2;Tumbes
18/04/2023;25.9;22;30;0;1009.3;Tumbes
